"Fit","Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK","OC_CPC"
"Yes","C1","4u7","C-EU1206-HAND","1206-HAND","Ceramic capacitor","Multicomp","MC1206B475K250CT","2320886",,
"Yes","C2","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C3","4u7","CAP_POL1210-HAND","CPOL-1210-HAND","Tantalum capacitor 35V","AVX","TAJB475K035RNJ","197592",,
"Yes","C4","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C5","4u7","CAP_POL1210-HAND","CPOL-1210-HAND","Tantalum capacitor 35V","AVX","TAJB475K035RNJ","197592",,
"No","C6","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C7","100n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C8","220n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C9","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C10","100n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C11","100p","C-EU1206-HAND","1206-HAND",,,,,,
"No","C12","100p","C-EU1206-HAND","1206-HAND",,,,,,
"No","C13","100p","C-EU1206-HAND","1206-HAND",,,,,,
"No","C14","100n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C15","100n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C16","100n","C-EU1206-HAND","1206-HAND",,,,,,
"No","C17","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C18","100n","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","C19","1u","C-EU1206-HAND","1206-HAND",,,,,,
"No","C20","1u","C-EU1206-HAND","1206-HAND",,,,,,
"Yes","D1","BAS21","DIODESOT23-1-3-HAND","SOT23-3-HAND",,"NXP","BAS21","8734267",,
"No","D2","BAS21","DIODESOT23-1-3-HAND","SOT23-3-HAND",,"NXP","BAS21","8734267",,
"Yes","JP1","I2C VIN","JUMPER-3PTH","1X03",,,,,,
"No","JP2","I2C ADDRESS","PINHD-2X3","2X03","PIN HEADER",,,,,
"Yes","JP3","PROG","JUMPER-2PTH","1X02","Jumper",,,,,
"Yes","L1","15u","INDUCTOR1210-HAND","1210-HAND","Inductor","TDK","NLCV32T-150K-EF","2429397",,
"Yes","Q1","FDT439N","FET-N-TYPESOT223-HAND","SOT223-HAND",,"Fairchild Semiconductor","FDT439N","1471058",,
"No","Q2","FDT439N","FET-N-TYPESOT223-HAND","SOT223-HAND",,"Fairchild Semiconductor","FDT439N","1471058",,
"No","R1","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"No","R2","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"No","R3","4k7","RESISTOR1210-HAND","1210-HAND",,,,,,
"Yes","R4","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"Yes","R5","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"No","R6","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"Yes","R7","1k","RESISTOR1206-HAND","1206-HAND",,"Vishay","CRCW12061K00FKEA","1469965",,
"Yes","R8","3k9","RESISTOR1206-HAND","1206-HAND",,"Welwyn","WCR1206-3K9FI","1100206",,
"Yes","R9","3k9","RESISTOR1206-HAND","1206-HAND",,"Welwyn","WCR1206-3K9FI","1100206",,
"Yes","R10","560R","RESISTOR1206-HAND","1206-HAND",,,,,,
"No","R11","560R","RESISTOR1206-HAND","1206-HAND",,,,,,
"Yes","R12","1M","RESISTOR1206-HAND","1206-HAND",,,,,,
"No","R13","1M","RESISTOR1206-HAND","1206-HAND",,,,,,
"-","-","PCB","RASPBERRY-PI-3","RASPBERRY-PI-3",,,,,,
"No (and no link)","U1","MCP1790","MCP1790-5002E/DB","SOT223-HAND",,,,"1675423",,
"Yes","U2","TME0509S",,"DC-DC-MURATA-NME-05-12-SERIES",,"Traco Power","TME 0509S","1007539",,
"No","U3","HIH6131","HONEYWELL-HIH613XSOIC8","SO08",,,,,,
"No","U4","MCP3424","MCP3424-E/SLSO14","SO14","Analog-to-Digital Converter","Microchip","MCP3424-E/SL","1630424",,
"Yes","U5","PCA9517A","PCA9517ASOIC",,,"NXP","PCA9517AD,112","2400580",,
"No","U6","LM61","LM61SOT23","SOT23-3-HAND",,"TI","LM61BIM3/NOPB","1564759",,
"Yes","U7","C24C64","EEPROM-C24CXXSOIC8","SO08",,"ON Semiconductor","CAT24C64WI-GT3","2463718",,
"Yes","X1","I2C","RJ11-6PTH","RJ11-6","RJ11 Jack","TE Connectivity","1-1705950-1","1284337",,"CN15391"
"No","X2","ADC","5504F1-09S-02A-03","DSUB-5504F1-02-9PIN","SUB-D",,,,,
"No","X3","1 WIRE","640457-3","22-23-2031",".100"" (2.54mm) RA Header - 3 Pin","TE Connectivity","640457-3","588726",,"CN13184"
"Yes","X4","AUX1","640457-2","22-23-2021",".100"" (2.54mm) RA Header - 2 Pin","TE Connectivity","640457-2","588714",,"CN13183"
"No","X5","AUX2","640457-2","22-23-2021",".100"" (2.54mm) RA Header - 2 Pin","TE Connectivity","640457-2","588714",,"CN13183"
