"Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK","OC_CPC"
"C1","4u7","C-EU1206-HAND","1206-HAND","Ceramic capacitor","Multicomp","MC1206B475K250CT","2320886",,
"C2","100n","C-EU1206-HAND","1206-HAND",,,,,,
"C3","4u7","CAP_POL1210-HAND","CPOL-1210-HAND","Tantalum capacitor 35V","AVX","TAJB475K035RNJ","197592",,
"C4","100n","C-EU1206-HAND","1206-HAND",,,,,,
"C5","4u7","CAP_POL1210-HAND","CPOL-1210-HAND","Tantalum capacitor 35V","AVX","TAJB475K035RNJ","197592",,
"C7","100n","C-EU1206-HAND","1206-HAND",,,,,,
"C10","100n","C-EU1206-HAND","1206-HAND",,,,,,
"C18","100n","C-EU1206-HAND","1206-HAND",,,,,,
"C19","1u","C-EU1206-HAND","1206-HAND",,,,,,
"D1","BAS21","DIODESOT23-1-3-HAND","SOT23-3-HAND",,"NXP","BAS21","8734267",,
"JP1","I2C VIN","JUMPER-3PTH","1X03",,,,,,
"JP3","PROG","JUMPER-2PTH","1X02","Jumper",,,,,
"L1","15u","INDUCTOR1210-HAND","1210-HAND","Inductor","TDK","NLCV32T-150K-EF","2429397",,
"Q1","FDT439N","FET-N-TYPESOT223-HAND","SOT223-HAND",,"Fairchild Semiconductor","FDT439N","1471058",,
"R3","1k","RESISTOR1206-HAND","1206-HAND",,"Vishay","CRCW12061K00FKEA","1469965",,
"R4","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"R5","4k7","RESISTOR1206-HAND","1206-HAND",,,,,,
"R7","1k","RESISTOR1206-HAND","1206-HAND",,"Vishay","CRCW12061K00FKEA","1469965",,
"R8","3k9","RESISTOR1206-HAND","1206-HAND",,"Welwyn","WCR1206-3K9FI","1100206",,
"R9","3k9","RESISTOR1206-HAND","1206-HAND",,"Welwyn","WCR1206-3K9FI","1100206",,
"R10","560R","RESISTOR1206-HAND","1206-HAND",,,,,,
"R12","1M","RESISTOR1206-HAND","1206-HAND",,,,,,
"U2","TME0509S",,"DC-DC-MURATA-NME-05-12-SERIES",,"Traco Power","TME 0509S","1007539",,
"U5","PCA9517A","PCA9517ASOIC",,,"NXP","PCA9517AD,112","2400580",,
"U7","C24C64","EEPROM-C24CXXSOIC8","SO08",,"ON Semiconductor","CAT24C64WI-GT3","2463718",,
"X1","I2C","RJ11-6PTH","RJ11-6","RJ11 Jack","TE Connectivity","1-1705950-1","1284337",,"CN15391"
"X4","AUX1","640457-2","22-23-2021",".100"" (2.54mm) RA Header - 2 Pin","TE Connectivity","640457-2","588714",,"CN13183"
